Event,Team,Robot weight,Red bumper weight,Blue bumper weight
2026alhu,34,99.2,9.5,9.4
2026alhu,120,106.3,14.2,13.3
2026alhu,538,106.2,9.1,9.1
2026alhu,744,112.9,13.8,13.7
2026alhu,1308,113.7,10.3,10.5
2026alhu,1466,93.3,10.1,9.6
2026alhu,1912,111.5,13.7,13.7
2026alhu,2393,103.2,12.2,12.9
2026alhu,2481,115,19.3,19.8
2026alhu,2556,113.5,12.3,12.4
2026alhu,2638,107,10.4,10.4
2026alhu,2783,111.5,10.6,10.7
2026alhu,2973,103.4,9.5,10
2026alhu,3140,108.3,10.2,10.2
2026alhu,3201,114,13,12.6
2026alhu,3260,114.9,11.1,11.1
2026alhu,3492,112,10.4,10.4
2026alhu,3792,98.5,11.2,11.3
2026alhu,3959,113.4,12.2,11.9
2026alhu,3966,101.4,14.1,13.5
2026alhu,3984,88.4,11.3,12.1
2026alhu,4020,107.1,14.9,14.6
2026alhu,4107,114.9,11.4,11.2
2026alhu,4150,110.4,14.2,14.4
2026alhu,4265,114.1,10.8,10.8
2026alhu,4306,61.8,8,9.2
2026alhu,4504,111.1,9.5,10.6
2026alhu,5002,104.3,12.8,12.9
2026alhu,5045,82.3,9.5,8.1
2026alhu,5125,50.7,10.4,10.1
2026alhu,5492,114.4,12.1,11.8
2026alhu,5740,106.5,14.8,14.7
2026alhu,5842,105.4,14.7,14.7
2026alhu,6107,66.5,8.8,8.7
2026alhu,6517,114.6,14.4,15.4
2026alhu,7111,107.2,16.8,16.5
2026alhu,7428,103.8,6.7,7
2026alhu,7515,109.6,11.3,11.3
2026alhu,7525,100.9,12.3,12.2
2026alhu,7917,96.2,13.2,13.1
2026alhu,8624,62.6,14,14
2026alhu,9067,104.4,13.7,13.7
2026alhu,9153,99,13.5,13.4
2026alhu,9401,100.1,12.9,12.8
2026alhu,10137,66.5,10.9,10.2
2026alhu,10961,86.2,14.9,12
2026alhu,11037,61.7,11.2,11.2
2026alhu,11173,71.1,11.6,11.4
2026arli,16,111.2,12,12.1
2026arli,127,94,10,9.8
2026arli,1209,114.1,12.1,12.3
2026arli,2036,114.1,14.2,14
2026arli,2341,96.9,5.5,8.8
2026arli,3184,108.7,15.2,15.2
2026arli,3468,84.7,10.8,10.2
2026arli,3937,113.7,12.8,12.9
2026arli,4499,114.7,11.7,13
2026arli,4522,112.5,18.7,18.8
2026arli,4603,110,11.2,11.2
2026arli,4764,80.7,10,10.9
2026arli,4766,108.2,17,17.1
2026arli,5437,64.9,8.9,9.4
2026arli,5454,106.1,10.8,10.1
2026arli,5472,115,15,14.6
2026arli,6186,82,15.4,15.4
2026arli,6424,100,14.3,13.5
2026arli,6647,114.9,14.2,14.5
2026arli,7255,81.8,12.7,12.7
2026arli,7483,97.9,17.8,17.3
2026arli,8753,108.4,14,14.6
2026arli,9067,105.2,13.6,13.5
2026arli,9073,90.8,9.7,9.7
2026arli,11102,84.7,12.5,12
2026ausc,3132,110.7,12.2,12
2026ausc,4613,113,13.7,13.5
2026ausc,4729,94,12,12
2026ausc,4739,103.1,13.6,27
2026ausc,4774,106.7,7.5,7.7
2026ausc,4788,95.8,10.6,10.5
2026ausc,5331,90.5,10.5,10.5
2026ausc,5584,114.6,12.8,12.8
2026ausc,5648,109.4,13.8,14.6
2026ausc,5876,86.1,11.2,11.2
2026ausc,5985,112.3,9.8,9.9
2026ausc,5988,63.7,11,10.5
2026ausc,6083,103.4,11.5,11.4
2026ausc,6432,85,10,10
2026ausc,6434,54.7,13.8,14.3
2026ausc,6497,114.2,12.1,12.3
2026ausc,6508,111.3,11.1,10.9
2026ausc,6510,114.8,11.8,11.7
2026ausc,6996,106.1,13.4,13.4
